datum,titel,ressort,labeltop,shorttext,autor,link
2025-05-01 22:51:00,"++ Selenskyj spricht von ""historischem"" Abkommen ++",newsticker,Krieg gegen die Ukraine,Der ukrainische Präsident Selenskyj hat das Wirtschaftsabkommen mit den USA als gleichwertig und fair bezeichnet. Die US-Regierung will einem Medienbericht zufolge wieder Rüstungsexporte an die Ukraine genehmigen.mehr,Kein Autor,https://www.tagesschau.de/newsticker/liveblog-ukraine-donnerstag-466.html
2025-05-01 22:47:00,Trump droht Käufern iranischen Öls mit Sanktionen,ausland,Atomverhandlungen,Inmitten der Verhandlungen um Irans umstrittenes Atomprogramm erhöht US-Präsident Trump den Druck. Abnehmer von iranischem Öl sollen mit Sanktionen belegt werden. Die nächste Runde der Atomgespräche wurde verschoben.mehr,Kein Autor,https://www.tagesschau.de/ausland/asien/trump-iran-oel-sanktionen-100.html
2025-05-01 21:36:00,Waldbrände bei Jerusalem unter Kontrolle,ausland,Israel,"Die Waldbrände in der Nähe von Jerusalem sind nach Angaben der israelischen Feuerwehr unter Kontrolle. Etwa 2.000 Hektar Land sind abgebrannt. Nun soll ermittelt werden, was die Brände verursacht hat.mehr",Kein Autor,https://www.tagesschau.de/ausland/asien/israel-schwere-waldbraende-um-jerusalem-104.html
2025-05-01 21:18:00,Trump will Waltz jetzt zum UN-Botschafter machen,ausland,Nach Aus als Sicherheitsberater,Als Sicherheitsberater war Mike Waltz nach der Chataffäre nicht mehr haltbar - für den Posten des UN-Botschafters findet ihn US-Präsident Trump aber noch geeignet. Außenminister Rubio soll vorerst Waltz' alten Posten mit übernehmen.mehr,Kein Autor,https://www.tagesschau.de/ausland/amerika/waltz-rubio-102.html
2025-05-01 19:40:00,Ein Deal für den Wiederaufbau,ausland,US-Abkommen mit der Ukraine,"Nach monatelangen Verhandlungen mit heftigen Wendungen wie dem Eklat im Oval Office, haben sich die USA und die Ukraine auf ein Wirtschaftsabkommen geeinigt. Was darüber bislang bekannt ist.mehr",Kein Autor,https://www.tagesschau.de/ausland/europa/usa-ukraine-abkommen-faq-102.html
2025-05-01 19:30:00,"""Schluss mit Gequatsche, dass Menschen faul sind""",inland,Kundgebungen am Tag der Arbeit,Gewerkschaften und andere Organisationen demonstrieren am 1. Mai bundesweit für Arbeitnehmerrechte. Kritik gibt es an Plänen der künftigen Regierung zur Arbeitszeit - sehr deutlich von der DGB-Vorsitzenden Fahimi.mehr,Kein Autor,https://www.tagesschau.de/inland/tag-der-arbeit-kundgebungen-100.html
2025-05-01 19:21:00,Hunderte Festnahmen in Istanbul,ausland,Demonstrationen zum 1. Mai,"Auch in Istanbul gab es Kundgebungen zum 1. Mai. Viele Demonstranten forderten die Freilassung von Bürgermeister İmamoğlu. Er sitzt in Haft - um ihn mundtot zu machen, sagen Kritiker. Die Polizei griff hart durch.mehr",Kein Autor,https://www.tagesschau.de/ausland/europa/tuerkei-istanbul-demonstrationen-100.html
2025-05-01 18:28:00,Fußballerinnen des FC Bayern gewinnen DFB-Pokal,eilmeldung,Finale gegen Bremen,Die Fußballerinnen des FC Bayern München haben nach der deutschen Meisterschaft auch den DFB-Pokal gewonnen. Im Finale setzten sich die Favoritinnen mit 4:2 gegen Werder Bremen durch.mehr,Kein Autor,https://www.tagesschau.de/eilmeldung/frauen-fussball-dfb-pokalsiegerinnen-muenchen-bremen-100.html
2025-05-01 18:13:00,Nächstes Treffen zwischen Iran und USA verschoben,ausland,Atomverhandlungen,Die für Samstag geplante nächste Verhandlungsrunde zwischen dem Iran und den USA über das iranische Atomprogramm wird verschoben - ein neuer Termin steht noch nicht fest. Grund könnten neue US-Sanktionen sein.mehr,Kein Autor,https://www.tagesschau.de/ausland/asien/oman-atomverhandlungen-usa-iran-100.html
2025-05-01 17:51:00,"Auch GM, McDonald's und Harley haben große Probleme",wirtschaft,Trumps Politik trifft US-Firmen hart,"Die bis vor kurzem robuste US-Wirtschaft schwächelt. Besonders die von Trumps Zollpolitik ausgelöste Unsicherheit belastet viele große Unternehmen - auch solche, die als Unterstützer des Präsidenten gelten.mehr",Kein Autor,https://www.tagesschau.de/wirtschaft/unternehmen/usa-konzerne-trump-kritik-100.html
2025-05-01 17:43:00,Zahlreiche Tote bei Gewalt in Syrien,ausland,Neue Angriffe auf Drusen,Seit Tagen gibt es in Syrien Gefechte zwischen sunnitischen Milizen und Drusen. Mindestens 100 Menschen wurden dabei getötet. Ein Anführer der drusischen Minderheit spricht von Völkermord.mehr,Kein Autor,https://www.tagesschau.de/ausland/asien/syrien-gewalt-tote-drusen-100.html
